,C=O,CN,C[NH3+],N,CS,CCl,NN,CC,[NH2+]=O,[NH4+],C1=CC=CC=C1,CF,CO,C1CCOCC1,C,C1=CC=NC=C1,CBr,[NH3+][O-]
4-Methoxyphenyl-1-thio-ß-D-glucopyranoside,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
"1,4-Bis-(ß-D-glucopyranosyl)benzene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
"1,4-Bis-(ß-D-galactopyranosyl)benzene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
1-O-(ß-D-Glucopyranosyl)-4-O-(ß-D-galactopyranosyl)benzene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
"1,3-Bis-(ß-D-glucopyranosyl)benzene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
6-O-(4-Methoxyphenyl)-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
(4-Pyridinyl) β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0
4-Methoxyphenyl-6-O-(α-D-galactopyranosyl) β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-6-O-(α-D-glucopyranosyl) ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-6-O-(ß-D-glucopyranosyl) ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-4-O-(ß-D-galactopyranosyl) ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
2-Amino β-D-galactopyranoside,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
2-Amino-3-(β-D-galactopyranosyloxy)-benzoic acid,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0
2-Amino-3-(β-D-glucopyranosyloxy)-benzoic acid,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0
4-Aminophenyl β-D-glucopyranoside,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Acetamidophenyl β-D-glucopyranoside,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
