Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds
N-acetyl-L-phenylalanine,0.004366799688209481,0.014127910622976761,0.08795948210012625,0.15403616316839636,0.20197832760509266,0.2469767638458519,0.29820031560502075,0.008632865698065255,0.24096738041155594,0.0285146447970912
1-aminocyclohexane carboxylic acid,0.015561038658249324,0.024954946358873364,0.10465661472814096,0.16311085788752705,0.21518266332080077,0.2729396735728272,0.328587187959072,0.020256554510397092,0.17551457604944035,0.045839186884221776
6-aminohexanoic acid,0.01408388158406113,0.029623946355603815,0.12025129580460209,0.17504611771278542,0.2296945930998823,0.3005510213012452,0.36635761795707333,0.020940300487867863,0.16724129027559514,0.0579352239531508
2-aminothiazole-4-carboxylic acid,0.015932420292658168,0.04044703534763988,0.11015063054035806,0.1454931704920627,0.22219408564378498,0.31874089715840426,0.4020365508529939,0.02496786095233275,0.11641751990449067,0.06434202590708343
L-phenylalaninol,0.014406071152379638,0.02969552092236876,0.09141644713547407,0.16470714311228046,0.22530933021589178,0.2785754777194737,0.3307659716978059,0.022999827051116566,0.28445245477704023,0.019903364945259204
L-alpha-phenylglycine,0.01236693050937549,0.023810931699474944,0.0971777926606425,0.15766662251213145,0.22014763082555053,0.2814871094214915,0.3430278784748763,0.019644962991549456,0.12926968051230897,0.04522694912527909
N-acetyl-L-alanine,0.007162079624967965,0.02163998009804756,0.10733881306151563,0.17526613220108145,0.23513768487870026,0.30007219893277465,0.3661552384242275,0.014812749435245574,0.1971613393511044,0.04361009095625878
L-alanine-L-phenylalanine dipeptide,0.011507904757464023,0.02783067265546321,0.0891275327652053,0.14517782258945153,0.1975697788441938,0.2444092980911039,0.2902251381548512,0.020109226929075005,0.2556988652286136,0.029505108153509388
L-alanine-L-alanine dipeptide,0.018776347089736196,0.04005678231819273,0.10520408983762174,0.15848176920194365,0.2144159118488,0.2773241547987071,0.33995089615397767,0.030125229537026354,0.1401012125045268,0.04296111031575549
(L)-2-Aminobutyric acid,0.014977096099222941,0.03237397394883079,0.12051561865241588,0.18033481042764912,0.246559533193832,0.32339811981389055,0.39994608160317574,0.026289533827366367,0.1537706210712246,0.06109010508527048
(S)-3-Aminobutyric acid,0.015095334768056183,0.03456344553387636,0.1300644886068985,0.1832288597140867,0.24481691819369472,0.3248378892826033,0.40896663033826003,0.026384135930649734,0.1484668262381582,0.07108371717898815
4-Aminobutyric acid,0.016890192340313703,0.035922331408865874,0.13263862478034905,0.18414761132171303,0.25176441343812983,0.3419813237301074,0.4225836545619835,0.028250178697212403,0.15644439752354974,0.0732095867838447
4-Amino-3-hydroxybutyric acid,0.02215202372446085,0.04044491677595599,0.12429290443519464,0.1727338149828903,0.2320419285119561,0.3139370394911709,0.3927662009219771,0.0335387432312392,0.14008612409358506,0.07937197086857449
4-Amino-2-hydroxybutyric acid,0.02014129264281553,0.040892596594491105,0.12614105524425676,0.17650017933494297,0.24037991521054392,0.3247568932639068,0.3985216589780184,0.03189427687517257,0.14415330204895485,0.07573008653187438
"2-Methyl-1,3-thiazole-4-carboxylic acid",0.0,0.006583482543664476,0.0927641315785561,0.1564442968531856,0.22462899212028328,0.29975858030117136,0.3774966303430823,0.0018441130645445503,0.11287450891735841,0.05551702730299445
L-Aspartic acid 4-cyclohexyl ester,0.009079137593081234,0.019086705968819815,0.0997878542752383,0.15051623879037795,0.19157328446595528,0.2396605301069325,0.2910652966612379,0.012936896108184503,0.16554749811787578,0.03778141247309113
DL-Homoserine,0.014670513284570117,0.034713335190302314,0.11686348592771306,0.17245450843628002,0.23680556808409023,0.31385685179866496,0.39072432275546665,0.027821299120414655,0.1465001067418167,0.06147826003232378
trans-3-Aminocyclohexanecarboxylic acid hydrochloride,0.01149964620258973,0.025249920038007554,0.10750371975964683,0.16045061821655296,0.2147996521211746,0.2758094034890325,0.3369632136175311,0.01928706177527959,0.15834669310662178,0.051259229745420035
(R)-3-Amino-3-phenylpropionic acid,0.011199453953473692,0.023093191947731313,0.09775736605449534,0.15458209246894397,0.2107175974371117,0.2709642056412668,0.3294268006413222,0.017464078704715006,0.1686969341197443,0.04669300089779212
